 10991644077500  68      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644077500  68      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991644078750  65      Cache        AllocRequest      I>I      [0xbcf0b140, line 0xbcf0b140] 
 10991644078750  65      Cache          ReadShared      I>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644078750  65      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644079000  65      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644079000  65      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991644087500   6      Cache        AllocRequest   RUSD>RUSD   [0xbcf0b140, line 0xbcf0b140] 
 10991644087500   6      Cache          ReadShared   RUSD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644087500   6      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644087750   6      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644087750   6      CacheSendSnpSharedFwdToOwner BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644087750   6      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644090500 135      Cache          AllocSnoop    RSD>RSD    [0xbcf0b140, line 0xbcf0b140] 
 10991644090500 135      Cache        SnpSharedFwd    RSD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644090500 135      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644090750 135      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644090750 135      Cache       SendSnpShared BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644092000 141      Cache          AllocSnoop SD_RSD>SD_RSD [0xbcf0b140, line 0xbcf0b140] 
 10991644092000 141      Cache           SnpShared SD_RSD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644092000 141      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644092250 141      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644092250 141      Cache       SendSnpShared BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644093000 139      Cache          AllocSnoop     SD>SD     [0xbcf0b140, line 0xbcf0b140] 
 10991644093000 139      Cache           SnpShared     SD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644093000 139      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644093250 139      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644093250 139      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644093500 139      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644093500 139      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644093750 139      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644093750 139      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
