 27101564017750 456      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564017750 456      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564018750 456      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564018750 456      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564018750 456      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564018750 456      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564019000 456      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564019000 450      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564019000 450      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564019000 450      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564019000 450      Cache               Final BUSY_BLKD>RSC    [0x1f887b1c0, line 0x1f887b1c0] 
 27101564019500 454      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564019500 454      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564020500 111        Seq                Done       >       [0x1f887b1dc, line 0x1f887b1c0] 180 cycles
 27101564020500 454      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564020500 454      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564020500 454      Cache      CheckCacheFill BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564020500 454      Cache            FillPipe BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564020500 454      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564020500 454      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564020500 454      Cache               Final BUSY_INTR>SC     [0x1f887b1c0, line 0x1f887b1c0] 
 27101564024500 456      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564024500 456      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564024500 456      Cache            FillPipe BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564024500 456      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564024500 456      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564024500 456      Cache               Final BUSY_INTR>SC_RSC [0x1f887b1c0, line 0x1f887b1c0] 
 27101564148250 470      Cache      Local_Eviction     SC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564148250 470      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564148500 470      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564148500 470      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564150500 464      Cache        AllocRequest    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] 
 27101564150500 464      Cache               Evict    RSC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564150500 464      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564150750 464      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564155500   8      Cache        AllocRequest   RUSC>RUSC   [0x1f887b1c0, line 0x1f887b1c0] 
 27101564155500   8      Cache               Evict   RUSC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564155500   8      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564155750   8      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564155750   8      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564155750   8      Cache               Final BUSY_BLKD>RUSC   [0x1f887b1c0, line 0x1f887b1c0] 
 27101564195250 464      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564195250 464      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564195250 464      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564195250 464      Cache               Final BUSY_BLKD>I      [0x1f887b1c0, line 0x1f887b1c0] 
 27101564196500 470      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564196500 470      Cache               Final BUSY_BLKD>I      [0x1f887b1c0, line 0x1f887b1c0] 
 27101564388750 153      Cache      Local_Eviction     SC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564388750 153      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564389000 153      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564389000 153      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564391250 155      Cache        AllocRequest SC_RSC>SC_RSC [0x1f887b1c0, line 0x1f887b1c0] 
 27101564391250 155      Cache               Evict SC_RSC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564391250 155      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564391500 155      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564391500 155      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564391500 155      Cache               Final BUSY_BLKD>SC     [0x1f887b1c0, line 0x1f887b1c0] 
 27101564393250 153      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564393250 153      Cache               Final BUSY_BLKD>I      [0x1f887b1c0, line 0x1f887b1c0] 
 27101566424000 451      Cache      Local_Eviction     SC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566424000 451      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566424250 451      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101566424250 451      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101566426000 453      Cache        AllocRequest SC_RSC>SC_RSC [0x1f887b1c0, line 0x1f887b1c0] 
 27101566426000 453      Cache               Evict SC_RSC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566426000 453      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566426250 453      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566426250 453      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566426250 453      Cache               Final BUSY_BLKD>SC     [0x1f887b1c0, line 0x1f887b1c0] 
 27101566427750 451      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566427750 451      Cache               Final BUSY_BLKD>I      [0x1f887b1c0, line 0x1f887b1c0] 
 27101566438750 454      Cache      Local_Eviction     SC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566438750 454      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566439000 454      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101566439000 454      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101566440500 456      Cache        AllocRequest SC_RSC>SC_RSC [0x1f887b1c0, line 0x1f887b1c0] 
 27101566440500 456      Cache               Evict SC_RSC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566440500 456      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566440750 456      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566440750 456      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566440750 456      Cache               Final BUSY_BLKD>SC     [0x1f887b1c0, line 0x1f887b1c0] 
 27101566442250 454      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101566442250 454      Cache               Final BUSY_BLKD>I      [0x1f887b1c0, line 0x1f887b1c0] 
 27101567065500 150      Cache      Local_Eviction     SC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101567065500 150      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101567065750 150      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101567065750 150      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101567070000 152      Cache        AllocRequest SC_RSC>SC_RSC [0x1f887b1c0, line 0x1f887b1c0] 
 27101567070000 152      Cache               Evict SC_RSC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101567070000 152      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101567070250 152      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101567070250 152      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
