 32170988756750 108      Cache             LoadHit BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988756750 108      Cache               Final BUSY_BLKD>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988757500  12        Seq               Begin       >       [0xfbe6b270, line 0xfbe6b240] LD
 32170988757750 108      Cache     AllocSeqRequest     SC>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988757750 108      Cache                Load     SC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988757750 108      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988757750 108      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988758000  12        Seq                Done       >       [0xfbe6b270, line 0xfbe6b240] 2 cycles
 32170988758000 108      Cache             LoadHit BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988758000 108      Cache               Final BUSY_BLKD>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988758250  12        Seq               Begin       >       [0xfbe6b270, line 0xfbe6b240] LD
 32170988758500 108      Cache     AllocSeqRequest     SC>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988758500 108      Cache                Load     SC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988758500 108      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988758500 108      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988758750  12        Seq                Done       >       [0xfbe6b270, line 0xfbe6b240] 2 cycles
 32170988758750 108      Cache             LoadHit BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988758750 108      Cache               Final BUSY_BLKD>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988863750 493      Cache      Local_Eviction     SC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988863750 493      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988864000 493      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988864000 493      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988865500 495      Cache        AllocRequest SC_RSC>SC_RSC [0xfbe6b240, line 0xfbe6b240] 
 32170988865500 495      Cache               Evict SC_RSC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988865500 495      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988865750 495      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988865750 495      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988865750 495      Cache               Final BUSY_BLKD>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988867250 493      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988867250 493      Cache               Final BUSY_BLKD>I      [0xfbe6b240, line 0xfbe6b240] 
 32170990273250 108      Cache      Local_Eviction     SC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170990273250 108      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170990273500 108      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170990273500 108      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170990275500 110      Cache        AllocRequest SC_RSC>SC_RSC [0xfbe6b240, line 0xfbe6b240] 
 32170990275500 110      Cache               Evict SC_RSC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170990275500 110      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170990275750 110      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170990275750 110      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170990275750 110      Cache               Final BUSY_BLKD>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170990276750 108      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170990276750 108      Cache               Final BUSY_BLKD>I      [0xfbe6b240, line 0xfbe6b240] 
 32170991153500 491      Cache      Local_Eviction     SC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170991153500 491      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170991153750 491      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170991153750 491      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170991155000 485      Cache        AllocRequest    RSC>RSC    [0xfbe6b240, line 0xfbe6b240] 
 32170991155000 485      Cache               Evict    RSC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
