 10229969227500 443      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969228500 443      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969228500 443      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969228500 443      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969228500 443      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969228750 443      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969229750 446      Cache      CompData_SD_PD BUSY_INTR>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969229750 446      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969230750 446      Cache      CompData_SD_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969230750 446      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969230750 446      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969230750 446      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969231000 443      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969231000 443      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969231000 443      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969231000 443      Cache               Final BUSY_BLKD>RSD    [0xbcf79140, line 0xbcf79140] 
 10229969231000 446      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969231500 444      Cache      CompData_SD_PD BUSY_INTR>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969231500 444      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969232250 446      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969232250 446      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969232250 446      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969232250 446      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969232250 446      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969232250 446      Cache               Final BUSY_INTR>SD_RSD [0xbcf79140, line 0xbcf79140] 
 10229969232500 108        Seq                Done       >       [0xbcf79168, line 0xbcf79140] 134 cycles
 10229969232500 444      Cache      CompData_SD_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969232500 444      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969232500 444      Cache      CheckCacheFill BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969232500 444      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969232500 444      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969232500 444      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969232500 444      Cache               Final BUSY_INTR>SD     [0xbcf79140, line 0xbcf79140] 
 10229969543500 111        Seq               Begin       >       [0xbcf79168, line 0xbcf79140] LD
 10229969543750 454      Cache     AllocSeqRequest      I>I      [0xbcf79140, line 0xbcf79140] 
 10229969543750 454      Cache                Load      I>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969543750 454      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969543750 454      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969544500 456      Cache        AllocRequest      I>I      [0xbcf79140, line 0xbcf79140] 
 10229969544500 456      Cache          ReadShared      I>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969544500 456      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969544750 456      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969544750 456      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969547000 450      Cache        AllocRequest      I>I      [0xbcf79140, line 0xbcf79140] 
 10229969547000 450      Cache          ReadShared      I>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969547000 450      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969547250 450      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969547250 450      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969550250 110        Seq               Begin       >       [0xbcf79168, line 0xbcf79140] LD
 10229969550500 451      Cache     AllocSeqRequest      I>I      [0xbcf79140, line 0xbcf79140] 
 10229969550500 451      Cache                Load      I>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969550500 451      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969550500 451      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969551250 453      Cache        AllocRequest      I>I      [0xbcf79140, line 0xbcf79140] 
 10229969551250 453      Cache          ReadShared      I>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969551250 453      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969551500 453      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969551500 453      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969552000   6      Cache        AllocRequest   RUSD>RUSD   [0xbcf79140, line 0xbcf79140] 
 10229969552000   6      Cache          ReadShared   RUSD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969552000   6      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969552250   6      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969552250   6      CacheSendSnpSharedFwdToOwner BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969552250   6      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969552750 450      Cache        AllocRequest BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969552750 450      Cache          ReadShared BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969596250 443      Cache          AllocSnoop    RSD>RSD    [0xbcf79140, line 0xbcf79140] 
 10229969596250 443      Cache        SnpSharedFwd    RSD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969596250 443      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969596500 443      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969596500 443      Cache       SendSnpShared BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969600500 446      Cache          AllocSnoop SD_RSD>SD_RSD [0xbcf79140, line 0xbcf79140] 
 10229969600500 446      Cache           SnpShared SD_RSD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969600500 446      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969600750 446      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969600750 446      Cache       SendSnpShared BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969602250 444      Cache          AllocSnoop     SD>SD     [0xbcf79140, line 0xbcf79140] 
 10229969602250 444      Cache           SnpShared     SD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969602250 444      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969602500 444      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969602500 444      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969602750 444      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969602750 444      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969603000 444      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969603000 444      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969603000 444      Cache               Final BUSY_BLKD>SC     [0xbcf79140, line 0xbcf79140] 
 10229969605250 446      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969606250 446      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969606250 446      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969606250 446      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969606500 446      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969606500 446      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969606500 446      Cache               Final BUSY_BLKD>SC_RSC [0xbcf79140, line 0xbcf79140] 
 10229969607500 443      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608500 443      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608500 443      CacheSendSnpSharedFwdCompData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608500 443      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608750 443      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608750 443      Cache    SendSnpFwdedResp BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608750 443      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608750 443      Cache               Final BUSY_BLKD>RSC    [0xbcf79140, line 0xbcf79140] 
 10229969610250 450      Cache      CompData_SD_PD BUSY_INTR>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969610250 450      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969610500 450      Cache      CompData_SD_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969610500 450      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969610500 450      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
