 10400107101000 289      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107101000 289      CacheSendSnpSharedFwdCompData BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107101000 289      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107101250 289      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107101250 289      Cache    SendSnpFwdedResp BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107101250 289      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107101250 289      Cache               Final BUSY_BLKD>RSC    [0xbd92f240, line 0xbd92f240] 
 10400107108750 485      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107108750 485      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107109750 485      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107109750 485      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107109750 485      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107109750 485      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107110000 485      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107110750  10      Cache SnpResp_SC_Fwded_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107111000 488      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107111000 488      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107112000 488      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107112000 488      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107112000 488      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107112000 488      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107112250 485      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107112250 485      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107112250 485      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107112250 485      Cache               Final BUSY_INTR>RSC    [0xbd92f240, line 0xbd92f240] 
 10400107112250 488      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107112750 486      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107112750 486      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107113500  10      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107113500  10      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107113500  10      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107113500  10      Cache               Final BUSY_BLKD>RUSC   [0xbd92f240, line 0xbd92f240] 
 10400107113750 120        Seq                Done       >       [0xbd92f268, line 0xbd92f240] 132 cycles
 10400107113750 486      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107113750 486      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107113750 486      Cache      CheckCacheFill BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107113750 486      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107113750 486      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107113750 486      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107113750 486      Cache               Final BUSY_INTR>SC     [0xbd92f240, line 0xbd92f240] 
 10400107117750 488      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107117750 488      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107117750 488      Cache      CheckCacheFill BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107117750 488      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107117750 488      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107117750 488      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107117750 488      Cache               Final BUSY_INTR>SC_RSC [0xbd92f240, line 0xbd92f240] 
 10400107560750 370      Cache      Local_Eviction     SC>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
